,K_emph,K_blur,K_noisy,K_blur_noisy,I_emph,I_blur,I_noisy,I_blur_noisy,A_emph,A_blur,A_noisy,A_blur_noisy
K_emph,8.1005,7.8349,7.7566496,6.183843,2.864,3.6555139,2.3308753,2.5461992,1.7721,3.8132792,3.4757363,4.4747794
K_blur,7.8349,8.636469,7.2956325,6.5757252,3.9946833,5.3050262,3.1798795,3.6614948,3.650925,5.860859,5.0965925,6.1524761
K_noisy,7.7566496,7.2956325,10.0621134,7.6276488,3.3508305,3.6281645,4.1973696,3.5636996,1.1067191,2.5452276,2.4782911,3.2634839
K_blur_noisy,6.183843,6.5757252,7.6276488,6.5425749,3.2878229,3.9525319,3.6697904,3.5062977,2.1979237,3.3987383,3.2427788,3.81535
I_emph,2.864,3.9946833,3.3508305,3.2878229,7.4605,7.275,6.5334023,5.7020312,1.7721,3.8644917,2.5801618,3.7737111
I_blur,3.6555139,5.3050262,3.6281645,3.9525319,7.275,7.9440359,6.2896523,5.9725128,3.5396986,5.6456512,4.4631886,5.4395933
I_noisy,2.3308753,3.1798795,4.1973696,3.6697904,6.5334023,6.2896523,8.8147761,6.6343048,0.3200082,1.7033052,2.2864426,2.7321544
I_blur_noisy,2.5461992,3.6614948,3.5636996,3.5062977,5.7020312,5.9725128,6.6343048,5.531666,1.7444258,3.0015172,3.0196975,3.4638529
A_emph,1.7721,3.650925,1.1067191,2.1979237,1.7721,3.5396986,0.3200082,1.7444258,8.1005,7.7074222,6.58294,5.9433082
A_blur,3.8132792,5.860859,2.5452276,3.3987383,3.8644917,5.6456512,1.7033052,3.0015172,7.7074222,8.980928,7.0479642,7.4433992
A_noisy,3.4757363,5.0965925,2.4782911,3.2427788,2.5801618,4.4631886,2.2864426,3.0196975,6.58294,7.0479642,8.2244968,7.3647041
A_blur_noisy,4.4747794,6.1524761,3.2634839,3.81535,3.7737111,5.4395933,2.7321544,3.4638529,5.9433082,7.4433992,7.3647041,7.6323968
